Organization,Compensation,Total Expenses,Executive_sex,Year,
"Doctors Without Borders, USA",201968,420595919,male,2017,
"Doctors Without Borders, USA",143942,216535113,female,2013,
American Red Cross,500000,2808630913,female,2017,
American Red Cross,498800,3047227207,female,2013,
The Nature Conservancy,784935,907553872,male,2017,
The Nature Conservancy,587752,748695565,male,2013,
Natural Resources Defense Council,506947,149039578,female,2017,
Natural Resources Defense Council,422811,115764382,female,2013,
World Wildlife Fund,756312,247189949,male,2017,
World Wildlife Fund,561194,203731525,male,2013,
ALSAC,794032,1239750265,male,2017,
ALSAC,646921,837495674,male,2013,
UNICEF,582962,547800710,female,2017,
UNICEF,457166,413154382,female,2013,
SAVE THE CHILDREN FEDERATION,472381,719647258,female,2017,
SAVE THE CHILDREN FEDERATION,407399,653826460,female,2013,
THE AMERICAN SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,804372,221271091,male,2017,
THE AMERICAN SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,672272,173064741,male,2013,
The Clinton Foundation,394089,54553115,male,2017,
The Clinton Foundation,360672,84684494,male,2013,
Wounded Warrior Project,281042,274021252,male,2017,
Wounded Warrior Project,473015,248005439,male,2013,
The Arbor Day Foundation,324829,47160881,male,2017,
The Arbor Day Foundation,398153,39228460,male,2013,
The Leukemia & Lymphoma Society,531927,356450352,male,2017,
The Leukemia & Lymphoma Society,606473,317198282,male,2013,
Heifer International,429483,118860529,male,2017,
Heifer International,313008,116193819,male,2013,
MAP International,211181,562760195,male,2017,
MAP International,138346,304283753,male,2013,
Feeding America,531597,2684820721,female,2017,
Feeding America,293035,1886998720,female,2013,
City of Hope,644396,477039035,male,2017,
City of Hope,1249092,255044896,female,2013,
Dana-Farber Cancer Institute,660218,1528239259,female,2017,
Dana-Farber Cancer Institute,1067826,1023723858,male,2013,
Smithsonian Institution,787720,1374738856,male,2017,
Smithsonian Institution,511231,1162329865,male,2013,
Americares,397994,1325483294,male,2017,
Americares,276110,564795170,male,2013,
Direct Relief,397360,1008907873,male,2017,
Direct Relief,350007,388784732,male,2013,
World Vision,456503,999702678,male,2017,
World Vision,423116,970739732,male,2013,
Cystic Fibrosis Foundation,805765,292766690,male,2017,
Cystic Fibrosis Foundation,737313,75047721,male,2013,
